Deck Name,Card Name,Quantity,Type
Adam-Weiss,Snakeskin Veil,1,Mainboard
Adam-Weiss,Questing Druid,2,Mainboard
Adam-Weiss,Pawpatch Formation,3,Sideboard
Adam-Weiss,Questing Druid // Seek the Beast,2,Sideboard
Adam-Weiss,Torch the Witness,4,Sideboard
Adam-Weiss,Screaming Nemesis,2,Sideboard
Adam-Weiss,Burst Lightning,1,Sideboard
Adam-Weiss,Pyroclasm,1,Sideboard
Adam-Weiss,Lithomantic Barrage,2,Sideboard
Adrian-Zhu,Abhorrent Oculus,4,Mainboard
Adrian-Zhu,Monument to Endurance,4,Mainboard
Adrian-Zhu,Fear of Missing Out,3,Mainboard
Adrian-Zhu,Scrapwork Mutt,4,Mainboard
Adrian-Zhu,Recommission,4,Mainboard
Adrian-Zhu,Torch the Tower,4,Mainboard
Adrian-Zhu,Plains,1,Mainboard
Adrian-Zhu,Helping Hand,4,Mainboard
Adrian-Zhu,Elegant Parlor,4,Mainboard
Adrian-Zhu,The Mycosynth Gardens,3,Mainboard
Adrian-Zhu,Inspiring Vantage,4,Mainboard
Adrian-Zhu,Battlefield Forge,4,Mainboard
Adrian-Zhu,Mountain,2,Mainboard
Adrian-Zhu,Guardian of New Benalia,4,Mainboard
Adrian-Zhu,Phyrexian Dragon Engine,4,Mainboard
Adrian-Zhu,Burst Lightning,3,Mainboard
Adrian-Zhu,Riverpyre Verge,4,Mainboard
Adrian-Zhu,Destroy Evil,3,Sideboard
Adrian-Zhu,Ghost Vacuum,2,Sideboard
Adrian-Zhu,Loran of the Third Path,3,Sideboard
Adrian-Zhu,Brotherhood's End,1,Sideboard
Adrian-Zhu,Exorcise,2,Sideboard
Adrian-Zhu,Fuel the Flames,1,Sideboard
Adrian-Zhu,Sheltered by Ghosts,3,Sideboard
Adriano-Moscato,Forest,2,Mainboard
Adriano-Moscato,Island,1,Mainboard
Adriano-Moscato,Plains,2,Mainboard
Adriano-Moscato,Swamp,1,Mainboard
Adriano-Moscato,Day of Judgment,2,Mainboard
Adriano-Moscato,Leyline Binding,4,Mainboard
Adriano-Moscato,"Zur, Eternal Schemer",4,Mainboard
Adriano-Moscato,Sunfall,1,Mainboard
Adriano-Moscato,Up the Beanstalk,4,Mainboard
Adriano-Moscato,Get Lost,3,Mainboard
Adriano-Moscato,Cavern of Souls,3,Mainboard
Adriano-Moscato,Analyze the Pollen,2,Mainboard
Adriano-Moscato,Meticulous Archive,2,Mainboard
Adriano-Moscato,Lush Portico,4,Mainboard
Adriano-Moscato,Shadowy Backstreet,2,Mainboard
Adriano-Moscato,Underground Mortuary,2,Mainboard
Adriano-Moscato,Pest Control,2,Mainboard
Adriano-Moscato,"Beza, the Bounding Spring",2,Mainboard
Adriano-Moscato,Overlord of the Hauntwoods,4,Mainboard
Adriano-Moscato,Hushwood Verge,4,Mainboard
Adriano-Moscato,Overlord of the Mistmoors,3,Mainboard
Adriano-Moscato,Bleachbone Verge,1,Mainboard
Adriano-Moscato,Wastewood Verge,1,Mainboard
Adriano-Moscato,Ride's End,4,Mainboard
Adriano-Moscato,Negate,2,Sideboard
Adriano-Moscato,Destroy Evil,1,Sideboard
Adriano-Moscato,Tear Asunder,1,Sideboard
Adriano-Moscato,Doppelgang,1,Sideboard
Adriano-Moscato,Rest in Peace,3,Sideboard
Adriano-Moscato,Pest Control,2,Sideboard
Adriano-Moscato,"Beza, the Bounding Spring",1,Sideboard
Adriano-Moscato,Pawpatch Formation,1,Sideboard
Adriano-Moscato,"Nissa, Ascended Animist",1,Sideboard
Adriano-Moscato,Obstinate Baloth,2,Sideboard
Adrián-Iñigo Tastet,Omniscience,4,Mainboard
Adrián-Iñigo Tastet,Abuelo's Awakening,4,Mainboard
Adrián-Iñigo Tastet,Ephara's Dispersal,3,Mainboard
Adrián-Iñigo Tastet,Temporary Lockdown,3,Mainboard
Adrián-Iñigo Tastet,Picklock Prankster,2,Mainboard
Adrián-Iñigo Tastet,Chart a Course,3,Mainboard
Adrián-Iñigo Tastet,Confounding Riddle,3,Mainboard
Adrián-Iñigo Tastet,Fallaji Archaeologist,4,Mainboard
Adrián-Iñigo Tastet,Moment of Truth,4,Mainboard
Adrián-Iñigo Tastet,Invasion of Arcavios,3,Mainboard
Adrián-Iñigo Tastet,Stock Up,3,Mainboard
Adrián-Iñigo Tastet,Blast Zone,2,Mainboard
Adrián-Iñigo Tastet,Adarkar Wastes,3,Mainboard
Adrián-Iñigo Tastet,Seachrome Coast,3,Mainboard
Adrián-Iñigo Tastet,Floodfarm Verge,4,Mainboard
Adrián-Iñigo Tastet,Meticulous Archive,4,Mainboard
Adrián-Iñigo Tastet,Plains,3,Mainboard
Adrián-Iñigo Tastet,Island,5,Mainboard
Adrián-Iñigo Tastet,Season of Weaving,1,Sideboard
Adrián-Iñigo Tastet,Riptide Gearhulk,3,Sideboard
Adrián-Iñigo Tastet,Get Lost,2,Sideboard
Adrián-Iñigo Tastet,Negate,2,Sideboard
Adrián-Iñigo Tastet,Temporary Lockdown,1,Sideboard
Adrián-Iñigo Tastet,Johann's Stopgap,1,Sideboard
Adrián-Iñigo Tastet,Day of Judgment,1,Sideboard
Adrián-Iñigo Tastet,Grand Abolisher,2,Sideboard
Adrián-Iñigo Tastet,Soul Partition,1,Sideboard
Adrián-Iñigo Tastet,Sunder the Gateway,1,Sideboard
Akinari-Shimokawabe,Heartfire Hero,4,Mainboard
Akinari-Shimokawabe,Hired Claw,4,Mainboard
Akinari-Shimokawabe,Monastery Swiftspear,4,Mainboard
Akinari-Shimokawabe,Emberheart Challenger,4,Mainboard
Akinari-Shimokawabe,Manifold Mouse,4,Mainboard
Akinari-Shimokawabe,Screaming Nemesis,4,Mainboard
Akinari-Shimokawabe,Burst Lightning,4,Mainboard
Akinari-Shimokawabe,Monstrous Rage,4,Mainboard
Akinari-Shimokawabe,Lightning Strike,3,Mainboard
Akinari-Shimokawabe,Witchstalker Frenzy,3,Mainboard
Akinari-Shimokawabe,Mountain,16,Mainboard
Akinari-Shimokawabe,Rockface Village,4,Mainboard
Akinari-Shimokawabe,Soulstone Sanctuary,2,Mainboard
Akinari-Shimokawabe,Lithomantic Barrage,3,Sideboard
Akinari-Shimokawabe,Torch the Tower,3,Sideboard
Akinari-Shimokawabe,Ghost Vacuum,2,Sideboard
Akinari-Shimokawabe,Obliterating Bolt,1,Sideboard
Akinari-Shimokawabe,Urabrask's Forge,2,Sideboard
Akinari-Shimokawabe,Sunspine Lynx,4,Sideboard
Akira-Kobayashi,Optimistic Scavenger,4,Mainboard
Akira-Kobayashi,Nurturing Pixie,4,Mainboard
Akira-Kobayashi,Spiteful Hexmage,3,Mainboard
Akira-Kobayashi,Fear of Isolation,4,Mainboard
Akira-Kobayashi,Hopeless Nightmare,4,Mainboard
Akira-Kobayashi,Stormchaser's Talent,4,Mainboard
Akira-Kobayashi,Nowhere to Run,4,Mainboard
Akira-Kobayashi,This Town Ain't Big Enough,4,Mainboard
Akira-Kobayashi,Darkslick Shores,4,Mainboard
Akira-Kobayashi,Concealed Courtyard,4,Mainboard
Akira-Kobayashi,Seachrome Coast,4,Mainboard
Akira-Kobayashi,Caves of Koilos,3,Mainboard
Akira-Kobayashi,Restless Anchorage,2,Mainboard
Akira-Kobayashi,Underground River,3,Mainboard
Akira-Kobayashi,Adarkar Wastes,2,Mainboard
Akira-Kobayashi,"Kaito, Bane of Nightmares",2,Mainboard
Akira-Kobayashi,Go for the Throat,1,Mainboard
Akira-Kobayashi,Swamp,1,Mainboard
Akira-Kobayashi,Grim Bauble,1,Mainboard
Akira-Kobayashi,Defiled Crypt,1,Mainboard
Akira-Kobayashi,Shoot the Sheriff,1,Mainboard
Akira-Kobayashi,No More Lies,2,Sideboard
Akira-Kobayashi,Momentum Breaker,1,Sideboard
Akira-Kobayashi,Negate,1,Sideboard
Akira-Kobayashi,Invasion of Gobakhan // Lightshield Array,2,Sideboard
Akira-Kobayashi,Grim Bauble,1,Sideboard
Akira-Kobayashi,Rest in Peace,2,Sideboard
Akira-Kobayashi,Destroy Evil,2,Sideboard
Akira-Kobayashi,Entity Tracker,2,Sideboard
Akira-Kobayashi,Temporary Lockdown,2,Sideboard
Alan-Andrzejewski,Burst Lightning,4,Mainboard
Alan-Andrzejewski,Manifold Mouse,4,Mainboard
Alan-Andrzejewski,Emberheart Challenger,4,Mainboard
Alan-Andrzejewski,Heartfire Hero,4,Mainboard
Alan-Andrzejewski,Hired Claw,4,Mainboard
Alan-Andrzejewski,Innkeeper's Talent,4,Mainboard
Alan-Andrzejewski,Questing Druid,1,Mainboard
Alan-Andrzejewski,Monstrous Rage,4,Mainboard
Alan-Andrzejewski,Mountain,6,Mainboard
Alan-Andrzejewski,Witchstalker Frenzy,2,Mainboard
Alan-Andrzejewski,Pawpatch Recruit,3,Mainboard
Alan-Andrzejewski,Rockface Village,2,Mainboard
Alan-Andrzejewski,Screaming Nemesis,4,Mainboard
Alan-Andrzejewski,Forest,1,Mainboard
Alan-Andrzejewski,Copperline Gorge,4,Mainboard
Alan-Andrzejewski,Thornspire Verge,4,Mainboard
Alan-Andrzejewski,Restless Ridgeline,1,Mainboard
Alan-Andrzejewski,Karplusan Forest,4,Mainboard
Alan-Andrzejewski,Sunspine Lynx,1,Sideboard
Alan-Andrzejewski,Pawpatch Formation,3,Sideboard
Alan-Andrzejewski,Torch the Tower,2,Sideboard
Alan-Andrzejewski,Sentinel of the Nameless City,2,Sideboard
Alan-Andrzejewski,Snakeskin Veil,1,Sideboard
Alan-Andrzejewski,Scorching Shot,1,Sideboard
Alan-Andrzejewski,Questing Druid // Seek the Beast,2,Sideboard
Alan-Andrzejewski,Lithomantic Barrage,2,Sideboard
Alan-Andrzejewski,Defend the Rider,1,Sideboard
Albert-Cordobés,Analyze the Pollen,2,Mainboard
Albert-Cordobés,"Beza, the Bounding Spring",1,Mainboard
Albert-Cordobés,Cavern of Souls,4,Mainboard
Albert-Cordobés,Day of Judgment,2,Mainboard
Albert-Cordobés,Elspeth's Smite,2,Mainboard
Albert-Cordobés,Floodfarm Verge,3,Mainboard
Albert-Cordobés,Swamp,1,Mainboard
Albert-Cordobés,Get Lost,3,Mainboard
Albert-Cordobés,Hedge Maze,1,Mainboard
Albert-Cordobés,Hushwood Verge,4,Mainboard
Albert-Cordobés,Plains,1,Mainboard
Albert-Cordobés,Leyline Binding,4,Mainboard
Albert-Cordobés,Lush Portico,4,Mainboard
Albert-Cordobés,Meticulous Archive,1,Mainboard
Albert-Cordobés,Overlord of the Hauntwoods,4,Mainboard
Albert-Cordobés,Overlord of the Mistmoors,3,Mainboard
Albert-Cordobés,Island,1,Mainboard
Albert-Cordobés,Ride's End,3,Mainboard
Albert-Cordobés,Shadowy Backstreet,1,Mainboard
Albert-Cordobés,Brushland,1,Mainboard
Albert-Cordobés,Sunfall,1,Mainboard
Albert-Cordobés,Forest,2,Mainboard
Albert-Cordobés,Up the Beanstalk,4,Mainboard
Albert-Cordobés,Underground Mortuary,1,Mainboard
Albert-Cordobés,"Zur, Eternal Schemer",3,Mainboard
Albert-Cordobés,"Atraxa, Grand Unifier",1,Mainboard
Albert-Cordobés,Temporary Lockdown,2,Mainboard
Albert-Cordobés,"Atraxa, Grand Unifier",1,Sideboard
Albert-Cordobés,"Beza, the Bounding Spring",1,Sideboard
Albert-Cordobés,Doppelgang,1,Sideboard
Albert-Cordobés,Negate,2,Sideboard
Albert-Cordobés,Obstinate Baloth,2,Sideboard
Albert-Cordobés,Rest in Peace,2,Sideboard
Albert-Cordobés,Tear Asunder,3,Sideboard
Albert-Cordobés,Elspeth's Smite,2,Sideboard
Albert-Cordobés,"Nissa, Ascended Animist",1,Sideboard
Alessandro-Lippi,Analyze the Pollen,2,Mainboard
Alessandro-Lippi,Plains,2,Mainboard
Alessandro-Lippi,Island,1,Mainboard
Alessandro-Lippi,Get Lost,3,Mainboard
Alessandro-Lippi,Forest,2,Mainboard
Alessandro-Lippi,Shadowy Backstreet,2,Mainboard
Alessandro-Lippi,Temporary Lockdown,2,Mainboard
Alessandro-Lippi,Hushwood Verge,4,Mainboard
Alessandro-Lippi,Leyline Binding,4,Mainboard
Alessandro-Lippi,Lush Portico,4,Mainboard
Alessandro-Lippi,Meticulous Archive,2,Mainboard
Alessandro-Lippi,Overlord of the Hauntwoods,4,Mainboard
Alessandro-Lippi,Overlord of the Mistmoors,3,Mainboard
Alessandro-Lippi,Pest Control,2,Mainboard
Alessandro-Lippi,Day of Judgment,1,Mainboard
Alessandro-Lippi,Sunfall,1,Mainboard
Alessandro-Lippi,Cavern of Souls,3,Mainboard
Alessandro-Lippi,Up the Beanstalk,4,Mainboard
Alessandro-Lippi,"Zur, Eternal Schemer",4,Mainboard
Alessandro-Lippi,Swamp,1,Mainboard
Alessandro-Lippi,Hedge Maze,1,Mainboard
Alessandro-Lippi,Underground Mortuary,1,Mainboard
Alessandro-Lippi,"Beza, the Bounding Spring",2,Mainboard
Alessandro-Lippi,Ride's End,3,Mainboard
Alessandro-Lippi,"Atraxa, Grand Unifier",1,Mainboard
Alessandro-Lippi,Wastewood Verge,1,Mainboard
Alessandro-Lippi,Bleachbone Verge,1,Mainboard
Alessandro-Lippi,Doppelgang,1,Sideboard
Alessandro-Lippi,Negate,2,Sideboard
Alessandro-Lippi,Tear Asunder,1,Sideboard
Alessandro-Lippi,"Nissa, Ascended Animist",1,Sideboard
Alessandro-Lippi,Day of Judgment,1,Sideboard
Alessandro-Lippi,Obstinate Baloth,2,Sideboard
Alessandro-Lippi,Rest in Peace,3,Sideboard
Alessandro-Lippi,Destroy Evil,2,Sideboard
Alessandro-Lippi,"Beza, the Bounding Spring",1,Sideboard
Alessandro-Lippi,Pest Control,1,Sideboard
Alex-Smith,Serra Paragon,4,Mainboard
Alex-Smith,Nurturing Pixie,4,Mainboard
Alex-Smith,Fabled Passage,4,Mainboard
Alex-Smith,Plains,2,Mainboard
Alex-Smith,Island,2,Mainboard
Alex-Smith,Swamp,2,Mainboard
Alex-Smith,"Jace, the Perfected Mind",2,Mainboard
Alex-Smith,Overlord of the Balemurk,3,Mainboard
Alex-Smith,Grim Bauble,2,Mainboard
Alex-Smith,Helpful Hunter,3,Mainboard
Alex-Smith,Nowhere to Run,2,Mainboard
Alex-Smith,Momentum Breaker,3,Mainboard
Alex-Smith,This Town Ain't Big Enough,2,Mainboard
Alex-Smith,Scrollshift,2,Mainboard
Alex-Smith,Loran of the Third Path,1,Mainboard
Alex-Smith,"Beza, the Bounding Spring",1,Mainboard
Alex-Smith,Get Lost,1,Mainboard
Alex-Smith,Temporary Lockdown,1,Mainboard
Alex-Smith,Legions to Ashes,1,Mainboard
Alex-Smith,Sheoldred's Edict,1,Mainboard
Alex-Smith,Day of Judgment,2,Mainboard
